interface_mac_table,interface,vlan,mac address,address,description
Router, Vlan949 GigabitEthernet1/4/38 Vlan205 Vlan23 GigabitEthernet2/4/11 Vlan202 GigabitEthernet1/3/9 Vlan201 Vlan203 Vlan1102 Vlan204 Vlan1101 Vlan1200 Vlan400 Vlan503 Vlan504 Vlan505 Vlan506 Vlan507 Vlan508 Vlan509 Vlan510 Vlan512 Vlan591 Vlan514 Vlan207 Vlan586 Vlan582 Vlan584 Vlan1100 Vlan300 Vlan301 Vlan304 Vlan305 Vlan19 GigabitEthernet1/4/24 Vlan3 Vlan4 Vlan5 Vlan6 Vlan41 Vlan7 Vlan8 Vlan160 Vlan180 Vlan468 Vlan851 Vlan852 Vlan398 Vlan800 Vlan2 Vlan145 Vlan1,505,64a0.e7b3.d800, 1.1.1.3 1.1.8.1 1.50.0.17 1.50.0.25 1.51.0.10 10.10.1.254 10.110.0.2 10.110.0.14 10.110.0.17 10.110.0.29 10.110.0.33 10.110.0.49 10.110.0.62 10.110.1.1 10.110.3.253 10.110.4.254 10.110.5.254 10.110.6.254 10.110.7.254 10.110.8.254 10.110.9.254 10.110.10.254 10.110.12.254 10.110.13.94 10.110.14.254 10.110.21.1 10.110.64.3 10.110.66.253 10.110.68.6 10.158.251.3 10.241.4.11 10.241.5.11 10.241.8.11 10.241.9.11 10.241.10.129 10.241.11.34 10.241.12.1 10.241.12.129 10.241.13.1 10.241.13.129 10.241.14.129 10.241.15.1 10.241.15.129 10.241.16.11 10.241.18.11 10.241.22.250 100.100.100.1 100.100.110.1 192.168.1.100 192.168.10.254 192.168.144.11 192.168.145.11 192.168.254.1,
Po3, Vlan504,504,6cae.8b2e.9541, 10.110.4.10,"""TO TOR_3850"""
Po39,,911,0050.56bf.22f8,,TO_4500X-ZAM
Po18, Vlan510,510,0050.569f.2f65, 10.110.10.46,PORTCHANNEL 2 FLEX
Gi1/3/25, Vlan2,2,000e.b6bc.8e14, 192.168.144.100,INPATH0_0-RIVERBED-ORANGE
Po18, Vlan506,506,0050.569f.7aa4, 10.110.6.109,PORTCHANNEL 2 FLEX
Po18, Vlan510,510,0050.569f.7a6f, 10.110.10.100,PORTCHANNEL 2 FLEX
Po18, Vlan508,508,0050.569f.2795, 10.110.8.86,PORTCHANNEL 2 FLEX
Po18, Vlan2,2,0050.569f.6fa5, 192.168.144.10,PORTCHANNEL 2 FLEX
Po18, Vlan506,506,0050.569f.7ab5, 10.110.6.184,PORTCHANNEL 2 FLEX
Gi1/3/22, Vlan400,400,240b.0a01.b576, 10.110.1.92,PALO_ALTO
Po18, Vlan504,504,0050.569f.506e, 10.110.4.38,PORTCHANNEL 2 FLEX
